ID,Predicted
0, 0.40
1, 0.05
2, 0.30
3, 0.25
4, 1.00
5, 0.05
6, 0.45
7, 0.35
8, 0.40
9, 0.20
10, 0.20
11, 0.30
12, 0.35
13, 0.25
14, 0.95
15, 1.00
16, 1.00
17, 0.40
18, 0.45
19, 0.05
20, 0.40
21, 1.00
22, 0.40
23, 0.40
24, 0.60
25, 0.45
26, 0.40
27, 0.20
28, 0.40
29, 0.20
30, 0.30
31, 0.40
32, 0.35
33, 0.35
34, 0.35
35, 0.35
36, 0.25
37, 0.20
38, 0.40
39, 1.00
40, 0.25
41, 0.30
42, 0.40
43, 0.45
44, 1.00
45, 0.65
46, 0.40
47, 0.75
48, 0.30
49, 0.10
50, 0.05
51, 0.20
52, 0.05
53, 0.20
54, 0.40
55, 0.45
56, 0.40
57, 0.35
58, 0.40
59, 0.25
60, 0.40
61, 0.40
62, 0.10
63, 0.95
64, 1.00
65, 0.30
66, 0.45
67, 0.50
68, 0.05
69, 0.10
70, 0.05
71, 1.00
72, 1.00
73, 0.35
74, 0.35
75, 0.90
76, 0.40
77, 0.60
78, 0.45
79, 0.05
80, 0.20
81, 0.05
82, 0.45
83, 1.00
84, 0.05
85, 0.95
86, 0.05
87, 0.20
88, 0.10
89, 1.00
90, 0.40
91, 1.00
92, 0.35
93, 0.10
94, 1.00
95, 0.40
96, 0.35
97, 0.30
98, 1.00
99, 0.35
100, 0.40
101, 0.45
102, 0.10
103, 0.20
104, 0.15
105, 0.30
106, 0.40
107, 0.40
108, 0.25
109, 0.10
110, 0.10
111, 0.45
112, 0.40
113, 0.40
114, 0.35
115, 0.40
116, 0.10
117, 0.40
118, 0.30
119, 0.05
120, 0.05
121, 0.90
122, 0.05
123, 0.30
124, 0.30
125, 0.10
126, 0.25
127, 0.05
128, 0.50
129, 0.90
130, 0.10
131, 0.95
132, 0.05
133, 0.30
134, 0.30
135, 0.35
136, 0.05
137, 0.05
138, 0.25
139, 0.15
140, 0.40
141, 0.40
142, 0.25
143, 1.00
144, 0.95
145, 0.40
146, 0.25
147, 0.35
148, 0.25
149, 0.05
150, 0.40
151, 1.00
152, 0.15
153, 0.05
154, 0.25
155, 0.60
156, 0.15
157, 0.05
158, 0.60
159, 0.25
160, 0.05
161, 0.35
162, 0.45
163, 0.05
164, 0.30
165, 0.20
166, 0.05
167, 0.15
168, 1.00
169, 0.40
170, 0.15
171, 0.40
172, 0.40
173, 0.40
174, 0.30
175, 0.40
176, 0.15
177, 0.10
178, 0.40
179, 0.40
180, 0.30
181, 0.35
182, 1.00
183, 0.40
184, 0.15
185, 0.30
186, 0.40
187, 0.05
188, 0.40
189, 0.45
190, 0.35
191, 0.15
192, 0.20
193, 0.10
194, 0.55
195, 0.45
196, 0.25
197, 0.10
198, 0.80
199, 0.05
200, 0.50
201, 0.35
202, 0.15
203, 0.40
204, 0.10
205, 0.30
206, 0.10
207, 0.35
208, 1.00
209, 0.25
210, 0.45
211, 0.25
212, 0.25
213, 0.40
214, 0.40
215, 0.15
216, 0.20
217, 0.40
218, 0.35
219, 0.10
220, 0.85
221, 0.35
222, 0.75
223, 0.25
224, 0.35
225, 0.40
226, 0.35
227, 0.95
228, 0.15
229, 0.40
230, 0.05
231, 0.05
232, 0.35
233, 0.40
234, 0.10
235, 0.05
236, 0.40
237, 0.05
238, 0.40
239, 0.40
240, 0.30
241, 0.35
242, 0.05
243, 0.80
244, 0.35
245, 0.40
246, 0.40
247, 0.45
248, 0.35
249, 0.05
250, 1.00
251, 0.15
252, 0.45
253, 0.05
254, 0.30
255, 0.30
256, 0.45
257, 0.45
258, 0.15
259, 0.60
260, 0.05
261, 0.05
262, 0.30
263, 1.00
264, 0.30
265, 0.30
266, 0.55
267, 0.40
268, 0.35
269, 0.35
270, 0.30
271, 0.95
272, 0.05
273, 0.15
274, 0.40
275, 0.35
276, 0.30
277, 0.05
278, 1.00
279, 0.40
280, 1.00
281, 0.40
282, 1.00
283, 0.40
284, 0.30
285, 0.20
286, 0.30
287, 0.40
